t / s	DataSet / -	tstep / s	Line / -	Command / -	U / V	I / A	Ahstep / Ah	CycCount / -	State / -
19584.4802393334	3152	0	9	Discharge	4.32750062728699	1.74467655279188e-05	1.09392673757178e-09	1	3
19584.4821266667	3153	0.00188733333333333	9	Discharge	4.3277026581286	1.74467655279188e-05	1.10307336594392e-09	1	0
19584.485222	3154	0.00498266666666665	9	Discharge	4.32346001045479	-0.0846465119635433	-3.53109456663988e-08	1	1
19584.486765	3155	0.00652566666666668	9	Discharge	4.32244985624674	-0.100802970225453	-7.85162187380305e-08	1	1
19589.480932	3156	5.00069266666668	9	Discharge	4.32224782540513	-0.0849988573237276	-0.000118032104150417	1	1
19594.481041	3157	10.0008016666667	9	Discharge	4.32204579456352	-0.084999729662004	-0.000236089905132471	1	1
19599.4821386667	3158	15.0018993333333	9	Discharge	4.3216417328803	-0.0849988573237276	-0.000354171029537628	1	1
19604.482085	3159	20.0018456666667	9	Discharge	4.32143970203869	-0.0850006020002804	-0.000472224969473532	1	1
19609.4823136667	3160	25.0020743333333	9	Discharge	4.32123767119708	-0.0850010381694185	-0.000590285571902733	1	1
19614.4830053333	3161	30.002766	9	Discharge	4.32103564035547	-0.0850001658311422	-0.000708357100719588	1	1
19619.4843353334	3162	35.004096	9	Discharge	4.32083360951386	-0.0849992934928658	-0.000826443701805398	1	1
19624.4822643334	3163	40.002025	9	Discharge	4.32063157867225	-0.0850001658311422	-0.000944450002208871	1	1
19629.4823493333	3164	45.00211	9	Discharge	4.32042954783064	-0.0850006020002804	-0.00106250720131388	1	1
19634.482552	3165	50.0023126666667	9	Discharge	4.32042954783064	-0.0850010381694185	-0.00118056719706982	1	1
19639.4828596667	3166	55.0026203333332	9	Discharge	4.32022751698903	-0.0850006020002804	-0.00129862965888863	1	1
19644.4830773333	3167	60.002838	9	Discharge	4.32002548614742	-0.0849992934928658	-0.00141669000434006	1	1
19649.4824103333	3168	65.002171	9	Discharge	4.31982345530581	-0.0850001658311422	-0.00153472945502797	1	1
19654.4822226667	3169	70.0019833333334	9	Discharge	4.31982345530581	-0.084999729662004	-0.00165278024764334	1	1
19659.483606	3170	75.0033666666666	9	Discharge	4.31982345530581	-0.0849992934928658	-0.00177086809050899	1	1
19664.4850886667	3171	80.0048493333335	9	Discharge	4.3196214244642	-0.085001910507695	-0.00188895830707396	1	1
19669.4828603333	3172	85.0026210000001	9	Discharge	4.3196214244642	-0.084999729662004	-0.00200696089669584	1	1
19674.48315	3173	90.0029106666666	9	Discharge	4.31941939362259	-0.0849992934928658	-0.00212502295040729	1	1
19679.482695	3174	95.0024556666666	9	Discharge	4.31941939362259	-0.0849992934928658	-0.00224306739238963	1	1
19684.483159	3175	100.002919666667	9	Discharge	4.31921736278098	-0.0849992934928658	-0.00236113354572714	1	1
19689.4827746667	3176	105.002535333333	9	Discharge	4.31921736278098	-0.084999729662004	-0.00247917966545996	1	1
19694.4832483333	3177	110.003009	9	Discharge	4.31921736278098	-0.0850001658311422	-0.00259724605960639	1	1
19699.4836196667	3178	115.003380333333	9	Discharge	4.31901533193937	-0.084999729662004	-0.00271531003834662	1	1
19704.484966	3179	120.004726666667	9	Discharge	4.31881330109776	-0.0849992934928658	-0.00283339705192982	1	1
19709.4825793333	3180	125.00234	9	Discharge	4.31881330109776	-0.084999729662004	-0.00295139590996485	1	1
19714.4832933333	3181	130.003054	9	Discharge	4.31861127025615	-0.0849988573237276	-0.00306946800886112	1	1
19719.4825456667	3182	135.002306333333	9	Discharge	4.31861127025615	-0.0849988573237276	-0.003187505582572	1	1
19724.483147	3183	140.002907666667	9	Discharge	4.31840923941454	-0.0850001658311422	-0.00330557504081344	1	1
19729.482761	3184	145.002521666667	9	Discharge	4.31820720857293	-0.0849992934928658	-0.00342362116854681	1	1
19734.482951	3185	150.002711666667	9	Discharge	4.31820720857293	-0.084997548816313	-0.00354168089624722	1	1
19739.483091	3186	155.002851666667	9	Discharge	4.31800517773132	-0.084999729662004	-0.0036597394421731	1	1
19744.4846063333	3187	160.004367	9	Discharge	4.31800517773132	-0.0849992934928658	-0.00377783049599999	1	1
19749.4823106667	3188	165.002071333333	9	Discharge	4.31780314688971	-0.0849984211545894	-0.00389583156456418	1	1
19754.482791	3189	170.002551666667	9	Discharge	4.31780314688971	-0.0850010381694185	-0.00401389815055092	1	1
19759.483596	3190	175.003356666667	9	Discharge	4.31780314688971	-0.0849988573237276	-0.00413197241126339	1	1
19764.4842096667	3191	180.003970333333	9	Discharge	4.3176011160481	-0.0849966764780366	-0.00425004217076735	1	1
19769.4845503333	3192	185.004311	9	Discharge	4.31739908520649	-0.084999729662004	-0.00436810548879511	1	1
19774.4853566667	3193	190.005117333333	9	Discharge	4.31739908520649	-0.0849992934928658	-0.00448617979691535	1	1
19779.486881	3194	195.006641666667	9	Discharge	4.31739908520649	-0.084997548816313	-0.00460427103391195	1	1
19784.4869266667	3195	200.006687333334	9	Discharge	4.31739908520649	-0.0849988573237276	-0.00472232738804538	1	1
19789.4851016667	3196	205.004862333333	9	Discharge	4.31719705436488	-0.084997548816313	-0.00484033955098052	1	1
19794.485288	3197	210.005048666667	9	Discharge	4.31719705436488	-0.0850010381694185	-0.00495839922891471	1	1
19799.4857496667	3198	215.005510333333	9	Discharge	4.31699502352327	-0.084999729662004	-0.00507646537492869	1	1
19804.4868236667	3199	220.006584333333	9	Discharge	4.31699502352327	-0.084999729662004	-0.00519454601080534	1	1
19809.4863313333	3200	225.006092	9	Discharge	4.31679299268166	-0.0850001658311422	-0.00531258960735435	1	1
19814.4862286667	3201	230.005989333333	9	Discharge	4.31679299268166	-0.0849988573237276	-0.00543064241661043	1	1
19819.4863026667	3202	235.006063333333	9	Discharge	4.31659096184005	-0.0849992934928658	-0.00554869938275802	1	1
19824.4871703333	3203	240.006931	9	Discharge	4.31659096184005	-0.0849984211545894	-0.00566677514253914	1	1
19829.4886336667	3204	245.008394333333	9	Discharge	4.31659096184005	-0.0850014743385567	-0.00578486496594019	1	1
19834.4894486667	3205	250.009209333333	9	Discharge	4.31659096184005	-0.0850001658311422	-0.00590293948382372	1	1
19839.4864293333	3206	255.00619	9	Discharge	4.31638893099844	-0.0850001658311422	-0.00602092343497915	1	1
19844.4880933333	3207	260.007854	9	Discharge	4.31638893099844	-0.084999729662004	-0.00613901796899468	1	1
19849.4874486667	3208	265.007209333333	9	Discharge	4.31618690015683	-0.084999729662004	-0.00625705801733684	1	1
19854.488683	3209	270.008443666667	9	Discharge	4.31618690015683	-0.0850010381694185	-0.00637514238382301	1	1
19859.488319	3210	275.008079666667	9	Discharge	4.31598486931522	-0.0849988573237276	-0.00649318904045674	1	1
19864.489337	3211	280.009097666667	9	Discharge	4.31598486931522	-0.0849979849854512	-0.00661126831739432	1	1
19869.489448	3212	285.009208666667	9	Discharge	4.31578283847361	-0.0849992934928658	-0.00672932619349797	1	1
19874.4894483333	3213	290.009209	9	Discharge	4.31578283847361	-0.0850006020002804	-0.00684738143468908	1	1
19879.489823	3214	295.009583666667	9	Discharge	4.31578283847361	-0.0850023466768332	-0.00696544554128083	1	1
19884.48902	3215	300.008780666667	9	Discharge	4.315580807632	-0.084999729662004	-0.00708348179740668	1	1
19889.490047	3216	305.009807666667	9	Discharge	4.315580807632	-0.0849988573237276	-0.00720156126555162	1	1
19894.4894886667	3217	310.009249333333	9	Discharge	4.315580807632	-0.0850001658311422	-0.00731960330645331	1	1
19899.489744	3218	315.009504666667	9	Discharge	4.31537877679039	-0.0849992934928658	-0.00743766462795541	1	1
19904.489923	3219	320.009683666667	9	Discharge	4.31517674594878	-0.0850001658311422	-0.00755572406177201	1	1
